,geo,time,kpi,population,control_0,control_1,media_0,media_1,media_2,media_spend_0,media_spend_1,media_spend_2,reach_0,reach_1,frequency_0,frequency_1,rf_spend_0,rf_spend_1
0,geo_0,2021-01-25,75.62513437,3186,10.3593393,11.6259851,14,7,10,2.764052346,1.400157208,1.978737984,3176,3040,11.82026173,5.000786042,2.764052346,1.400157208
1,geo_0,2021-02-01,44.73865164,3186,6.986378031,8.251330133,16,14,0,3.240893199,2.86755799,0.02272212012,3098,3224,7.893689921,14.204466,1.978737984,3.240893199
2,geo_0,2021-02-08,36.70257636,3186,5.479311102,5.40015597,10,4,4,1.950088418,0.8486427917,0.8967811482,3187,2902,12.33778995,1.886389399,2.86755799,0.02272212012
3,geo_0,2021-02-15,0.9709548982,3186,8.960029687,-1.043606392,7,6,12,1.410598502,1.144043571,2.454273507,3095,2985,7.750442088,2.243213959,1.950088418,0.8486427917
4,geo_0,2021-02-22,56.58441079,3186,5.675902965,6.791142981,9,6,7,1.761037725,1.121675016,1.443863233,2990,3041,2.483905741,5.05299251,0.8967811482,1.410598502
5,geo_0,2021-03-01,6.271427613,3186,5.110273358,7.845355545,7,12,4,1.333674327,2.494079073,0.7948417362,3014,3145,3.720217856,10.27136753,1.144043571,2.454273507
6,geo_0,2021-03-08,55.24360629,3186,4.74328079,8.878848897,7,1,8,1.313067702,0.1459042607,1.552989816,3076,3012,6.805188626,3.608375082,1.761037725,1.121675016
7,geo_0,2021-03-15,2.356998575,3186,3.338605314,3.12272617,8,9,1,1.653618595,1.864436199,0.2578349796,3044,3033,5.219316164,4.668371637,1.443863233,1.333674327
8,geo_0,2021-03-22,51.77191045,3186,6.558690719,2.949228893,16,2,5,3.269754624,0.4543656746,1.045758517,3149,2979,10.47039537,1.974208681,2.494079073,0.7948417362
9,geo_0,2021-03-29,49.35750923,3186,8.251529064,7.967689868,4,13,12,0.81281615,2.532779214,2.46935877,3031,2915,4.565338508,1.270478697,1.313067702,0.1459042607
10,geo_0,2021-04-05,2.208109119,3186,5.910963951,5.236396514,6,7,1,1.154947426,1.37816252,0.1122142524,2745,3065,9.764949079,6.268092977,1.552989816,1.653618595
