,geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,Channel4_impression,Competitor_Sales,GQV,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Channel4_spend,Organic_channel0_impression,Promo,conversions,revenue_per_conversion,population
0,Geo0,2021-01-25,280668.0,0.0,0.0,470611.0,108010.0,-1.3387649,0.11558147,2058.0608,0.0,0.0,3667.3965,841.6044,97320.0,0.0,1954576.8,0.020054754,136670.94
1,Geo0,2021-02-01,366206.0,182108.0,19825.0,527702.0,252506.0,0.8936449,0.9442244,2685.2874,1755.7454,147.31808,4112.2974,1967.5044,201441.0,0.0,2064249.6,0.02010317,136670.94
2,Geo0,2021-02-08,197565.0,230170.0,0.0,393618.0,184061.0,-0.28454947,-1.290579,1448.6895,2219.1223,0.0,3067.4023,1434.187,0.0,0.68381935,2086382.8,0.019928792,136670.94
3,Geo0,2021-02-15,140990.0,66643.0,0.0,326034.0,201729.0,-1.0347397,-1.0845139,1033.8406,642.52057,0.0,2540.731,1571.8545,0.0,1.2890546,2826431.5,0.019987345,136670.94
4,Geo0,2021-02-22,399116.0,164991.0,0.0,381982.0,153973.0,-0.3192759,-0.017502785,2926.6072,1590.7164,0.0,2976.7249,1199.744,0.0,0.22773853,3551929.2,0.02000035,136670.94
5,Geo0,2021-03-01,219462.0,149254.0,0.0,417941.0,41573.0,-0.65269506,-0.30211386,1609.2542,1438.9924,0.0,3256.9475,323.93317,0.0,0.0,2241229.2,0.02014213,136670.94
6,Geo0,2021-03-08,39715.0,52062.0,273250.0,662155.0,381411.0,1.4276155,-0.23733935,291.2191,501.94177,2030.5001,5160.0684,2971.9207,0.0,0.0,2553928.2,0.020031057,136670.94
7,Geo0,2021-03-15,114458.0,230897.0,122797.0,423700.0,229769.0,0.45791247,0.8655758,839.2888,2226.1316,912.49524,3301.8264,1790.3397,88088.0,0.0,2218996.5,0.020035092,136670.94
8,Geo0,2021-03-22,235989.0,256233.0,0.0,413992.0,359812.0,0.89351004,-0.80686784,1730.442,2470.4019,0.0,3226.1736,2803.6233,334506.0,1.4659629,2322239.5,0.020043833,136670.94
9,Geo0,2021-03-29,428627.0,0.0,280553.0,501091.0,341979.0,0.520105,-0.24917367,3143.003,0.0,2084.768,3904.9224,2664.6702,0.0,0.9731307,2363707.5,0.019865984,136670.94
