,geo,time,kpi,revenue_per_kpi,population,control_0,control_1,reach_0,reach_1,frequency_0,frequency_1,rf_spend_0,rf_spend_1
0,geo_0,2021-01-25,11204.439395748497,3.14,3186.0,2488.492672628832,2489.759318429325,3176.0,3040.0,11.82026172983832,5.0007860418361165,2.764052345967664,1.4001572083672233
1,geo_0,2021-02-01,11391.794669426034,3.14,3186.0,2527.7863780306757,2529.051330132562,3098.0,3224.0,7.893689920528696,14.20446599600729,1.9787379841057393,3.240893199201458
2,geo_0,2021-02-08,10967.034388921766,3.14,3186.0,2436.2793111019487,2436.200155970284,3187.0,2902.0,12.337789950749837,1.8863893993820549,2.8675579901499675,0.022722120123588985
3,geo_0,2021-02-15,10951.600462171311,3.14,3186.0,2434.2933630202083,2424.2897269416862,3095.0,2985.0,7.750442087627947,2.2432139585115105,1.9500884175255893,0.8486427917023021
4,geo_0,2021-02-22,10837.499554958471,3.14,3186.0,2412.209236298394,2413.324476314416,2990.0,3041.0,2.4839057410322107,5.052992509691862,0.8967811482064422,1.4105985019383724
5,geo_0,2021-03-01,11066.030980710737,3.14,3186.0,2462.5769400246945,2465.312022211331,3014.0,3145.0,3.72021785580439,10.271367534814875,1.144043571160878,2.4542735069629753
6,geo_0,2021-03-08,10970.000638770705,3.14,3186.0,2435.6766141230237,2439.8121822302146,3076.0,3012.0,6.805188625734967,3.608375082464142,1.7610377251469935,1.1216750164928284
7,geo_0,2021-03-15,10935.665249923293,3.14,3186.0,2429.338605314014,2429.1227261704316,3044.0,3033.0,5.219316163727129,4.668371636871334,1.4438632327454257,1.3336743273742668
8,geo_0,2021-03-22,11030.34600862126,3.14,3186.0,2451.6253573851714,2448.0158955596735,3149.0,2979.0,10.47039536578803,1.9742086811709956,2.4940790731576064,0.7948417362341991
9,geo_0,2021-03-29,10731.798306233572,3.14,3186.0,2378.9181957307314,2378.6343565350257,3031.0,2915.0,4.565338508254507,1.2704786965086239,1.3130677016509014,0.14590426069827522
10,geo_0,2021-04-05,10467.364919269581,3.14,3186.0,2326.1776306173415,2325.503063180643,2745.0,3065.0,9.764949079170393,6.268092977201803,1.5529898158340787,1.6536185954403606
11,geo_0,2021-04-12,10797.288500091643,3.14,3186.0,2403.357919050535,2401.008946381447,3086.0,2926.0,7.322180994297529,0.7108251020322096,1.8644361988595057,0.25783497959355806
12,geo_0,2021-04-19,10958.587559476497,3.14,3186.0,2437.527739313095,2430.612940545564,3227.0,2855.0,14.348773119938038,4.271828372993824,3.2697546239876076,0.45436567459876476
13,geo_0,2021-04-26,10798.027956516069,3.14,3186.0,2392.181736668136,2392.0982880021497,3005.0,2981.0,3.2287925865072302,2.064080749870832,1.045758517301446,0.8128161499741664
14,geo_0,2021-05-03,11345.681260247451,3.14,3186.0,2522.730541380391,2518.731878868942,3153.0,3147.0,10.663896071792287,10.346793849501426,2.5327792143584578,2.469358769900285
15,geo_0,2021-05-10,10870.754819979524,3.14,3186.0,2419.441099236847,2421.5213232118517,3015.0,3038.0,3.7747371284845816,4.890812598010868,1.1549474256969163,1.3781625196021736
16,geo_0,2021-05-17,10279.160894334756,3.14,3186.0,2284.4769188175414,2282.830680840864,2911.0,2802.0,1.4389287381505635,6.903982341119635,0.11221425236988725,0.980796468223927
17,geo_0,2021-05-24,10761.193638999463,3.14,3186.0,2393.7532953536975,2394.3120727074743,2965.0,3016.0,1.260439253369237,3.7817448455199,0.6520878506738474,1.15634896910398
18,geo_0,2021-05-31,11243.674885675293,3.14,3186.0,2499.4791061058004,2498.9739371176543,3123.0,3120.0,9.151453403638603,9.011899243922056,2.2302906807277205,2.2023798487844113
19,geo_0,2021-06-07,10651.677612740972,3.14,3186.0,2372.861370311588,2370.3650023743207,2961.0,2970.0,1.0633659129602386,1.4884862471233222,0.6126731825920477,0.6976972494246645
