,geo,time,kpi,revenue_per_kpi,population,control_0,control_1,reach_0,reach_1,frequency_0,frequency_1,rf_spend_0,rf_spend_1
0,geo_0,2021-01-04,,,,,,3176.0,3040.0,11.82026172983832,5.0007860418361165,,
1,geo_0,2021-01-11,,,,,,3098.0,3224.0,7.893689920528696,14.20446599600729,,
2,geo_0,2021-01-18,,,,,,3187.0,2902.0,12.337789950749837,1.8863893993820549,,
3,geo_0,2021-01-25,10959.639395748498,3.14,3186.0,2434.092672628832,2435.359318429325,3095.0,2985.0,7.750442087627947,2.2432139585115105,2.764052345967664,1.4001572083672233
4,geo_0,2021-02-01,10867.994669426032,3.14,3186.0,2411.3863780306756,2412.6513301325617,2990.0,3041.0,2.4839057410322107,5.052992509691862,1.9787379841057393,3.240893199201458
5,geo_0,2021-02-08,11093.034388921767,3.14,3186.0,2464.279311101949,2464.2001559702844,3014.0,3145.0,3.72021785580439,10.271367534814875,2.8675579901499675,0.022722120123588985
6,geo_0,2021-02-15,10966.000462171312,3.14,3186.0,2437.4933630202086,2427.4897269416865,3076.0,3012.0,6.805188625734967,3.608375082464142,1.9500884175255893,0.8486427917023021
7,geo_0,2021-02-22,10920.299554958472,3.14,3186.0,2430.609236298394,2431.7244763144163,3044.0,3033.0,5.219316163727129,4.668371636871334,0.8967811482064422,1.4105985019383724
8,geo_0,2021-03-01,11010.230980710738,3.14,3186.0,2450.1769400246944,2452.912022211331,3149.0,2979.0,10.47039536578803,1.9742086811709956,1.144043571160878,2.4542735069629753
9,geo_0,2021-03-08,10714.400638770705,3.14,3186.0,2378.8766141230235,2383.0121822302144,3031.0,2915.0,4.565338508254507,1.2704786965086239,1.7610377251469935,1.1216750164928284
10,geo_0,2021-03-15,10455.065249923293,3.14,3186.0,2322.5386053140137,2322.3227261704315,2745.0,3065.0,9.764949079170393,6.268092977201803,1.4438632327454257,1.3336743273742668
11,geo_0,2021-03-22,10821.54600862126,3.14,3186.0,2405.2253573851713,2401.6158955596734,3086.0,2926.0,7.322180994297529,0.7108251020322096,2.4940790731576064,0.7948417362341991
12,geo_0,2021-03-29,10976.598306233573,3.14,3186.0,2433.3181957307315,2433.034356535026,3227.0,2855.0,14.348773119938038,4.271828372993824,1.3130677016509014,0.14590426069827522
13,geo_0,2021-04-05,10784.16491926958,3.14,3186.0,2396.5776306173416,2395.903063180643,3005.0,2981.0,3.2287925865072302,2.064080749870832,1.5529898158340787,1.6536185954403606
14,geo_0,2021-04-12,11315.68850009164,3.14,3186.0,2518.557919050535,2516.208946381447,3153.0,3147.0,10.663896071792287,10.346793849501426,1.8644361988595057,0.25783497959355806
15,geo_0,2021-04-19,10906.387559476496,3.14,3186.0,2425.927739313095,2419.012940545564,3015.0,3038.0,3.7747371284845816,4.890812598010868,3.2697546239876076,0.45436567459876476
16,geo_0,2021-04-26,10306.62795651607,3.14,3186.0,2282.9817366681364,2282.89828800215,2911.0,2802.0,1.4389287381505635,6.903982341119635,1.045758517301446,0.8128161499741664
